,pdb,Hchain,Lchain,antigen_chain,resolution,date,mrc,antibody_selection,antigen_selection
203,8a99,T,Q,C,2.5,05/10/23,15273,chain T or chain Q,chain C
204,7uoj,H,L,G,4.02,05/03/23,26648,chain H or chain L,chain G
205,7uoj,h,l,G,4.02,05/03/23,26648,chain h or chain l,chain G
206,7uoj,D,E,A,4.02,05/03/23,26648,chain D or chain E,chain A
207,7uoj,d,e,A,4.02,05/03/23,26648,chain d or chain e,chain A
208,7uoj,K,M,I,4.02,05/03/23,26648,chain K or chain M,chain I
209,7uoj,k,m,I,4.02,05/03/23,26648,chain k or chain m,chain I
210,8a94,R,O,A,2.4,05/03/23,15269,chain R or chain O,chain A
211,8a94,T,Q,C,2.4,05/03/23,15269,chain T or chain Q,chain C
212,8a94,K,E,B,2.4,05/03/23,15269,chain K or chain E,chain B
214,8f0g,X,Y,C | A,3.35,05/03/23,28756,chain X or chain Y,chain C or chain A
215,8f0h,B,D,C,3.18,05/03/23,28757,chain B or chain D,chain C
216,8f0h,H,L,C,3.18,05/03/23,28757,chain H or chain L,chain C
217,8gs9,H,K,A,2.66,05/03/23,34226,chain H or chain K,chain A
224,8fr6,D,E,A | C,2.5,04/19/23,29396,chain D or chain E,chain A or chain C
225,8fr6,H,L,B | G,2.5,04/19/23,29396,chain H or chain L,chain B or chain G
226,8fr6,J,K,F | I,2.5,04/19/23,29396,chain J or chain K,chain F or chain I
227,8g85,H,L,K | J,3.99,04/19/23,29836,chain H or chain L,chain K or chain J
228,8g85,A,C,E | D,3.99,04/19/23,29836,chain A or chain C,chain E or chain D
229,8g85,F,I,B | G,3.99,04/19/23,29836,chain F or chain I,chain B or chain G
233,7ur6,H,L,B | G,3.46,04/26/23,26706,chain H or chain L,chain B or chain G
234,7ur6,D,E,C | A,3.46,04/26/23,26706,chain D or chain E,chain C or chain A
235,7ur6,J,K,I | F,3.46,04/26/23,26706,chain J or chain K,chain I or chain F
236,8heb,E,D,A,3.53,04/26/23,34686,chain E or chain D,chain A
237,8heb,G,F,B,3.53,04/26/23,34686,chain G or chain F,chain B
238,8heb,I,H,C,3.53,04/26/23,34686,chain I or chain H,chain C
239,8hec,E,D,A,3.5,04/26/23,34687,chain E or chain D,chain A
240,8hec,G,F,B,3.5,04/26/23,34687,chain G or chain F,chain B
241,8hec,I,H,C,3.5,04/26/23,34687,chain I or chain H,chain C
242,8hed,G,F,B,3.59,04/26/23,34688,chain G or chain F,chain B
243,7umn,H,L,A,3.6,04/19/23,26606,chain H or chain L,chain A
244,7umn,I,M,B,3.6,04/19/23,26606,chain I or chain M,chain B
245,7umn,J,N,C,3.6,04/19/23,26606,chain J or chain N,chain C
246,7uow,H,L,A,4.4,04/19/23,26656,chain H or chain L,chain A
247,7uow,J,I,C,4.4,04/19/23,26656,chain J or chain I,chain C
252,7xj8,G,F,B,3.3,04/19/23,33221,chain G or chain F,chain B
253,7xj8,I,H,C,3.3,04/19/23,33221,chain I or chain H,chain C
254,7xj8,K,J,B,3.3,04/19/23,33221,chain K or chain J,chain B
255,7xj9,G,F,B,3.27,04/19/23,33222,chain G or chain F,chain B
256,7xj9,I,H,C,3.27,04/19/23,33222,chain I or chain H,chain C
257,7xj9,K,J,B,3.27,04/19/23,33222,chain K or chain J,chain B
258,7zjl,j,i,B,2.6,04/19/23,14750,chain j or chain i,chain B
259,7zjl,h,g,A,2.6,04/19/23,14750,chain h or chain g,chain A
260,7zjl,l,k,C,2.6,04/19/23,14750,chain l or chain k,chain C
261,8ct6,H,L,A,3.1,04/19/23,26983,chain H or chain L,chain A
262,8ct6,J,K,C,3.1,04/19/23,26983,chain J or chain K,chain C
263,8dto,G,H,E,3.57,04/19/23,27706,chain G or chain H,chain E
264,8dto,C,D,A,3.57,04/19/23,27706,chain C or chain D,chain A
265,8dto,K,L,I,3.57,04/19/23,27706,chain K or chain L,chain I
266,8dy6,C,D,A,4.32,01/08/09,27776,chain C or chain D,chain A
267,8dy6,G,H,E,4.32,01/08/09,27776,chain G or chain H,chain E
268,8dy6,K,L,I,4.32,01/08/09,27776,chain K or chain L,chain I
270,8g9x,H,L,O | B,4.46,04/19/23,29881,chain H or chain L,chain O or chain B
271,8g9y,H,L,D | O | E,4.28,04/19/23,29882,chain H or chain L,chain D or chain O or chain E
272,8san,C,D,A,4.6,04/19/23,40274,chain C or chain D,chain A
273,8san,G,H,E,4.6,04/19/23,40274,chain G or chain H,chain E
274,8san,K,L,I,4.6,04/19/23,40274,chain K or chain L,chain I
275,8saq,C,D,A,3.9,04/19/23,40275,chain C or chain D,chain A
276,8saq,H,I,E,3.9,04/19/23,40275,chain H or chain I,chain E
277,8saq,M,N,K,3.9,04/19/23,40275,chain M or chain N,chain K
278,8sar,C,D,A,3.82,04/19/23,40277,chain C or chain D,chain A
279,8sar,H,I,F,3.82,04/19/23,40277,chain H or chain I,chain F
280,8sar,M,N,K,3.82,04/19/23,40277,chain M or chain N,chain K
281,8sas,C,D,A,4.0,04/19/23,40278,chain C or chain D,chain A
282,8sas,H,I,F,4.0,04/19/23,40278,chain H or chain I,chain F
283,8sas,M,N,K,4.0,04/19/23,40278,chain M or chain N,chain K
284,8sau,C,D,A,3.3,01/08/09,40280,chain C or chain D,chain A
285,8sau,H,I,F,3.3,01/08/09,40280,chain H or chain I,chain F
286,8sau,M,N,K,3.3,01/08/09,40280,chain M or chain N,chain K
287,8sav,C,D,A,4.0,04/19/23,40281,chain C or chain D,chain A
288,8sav,G,H,E,4.0,04/19/23,40281,chain G or chain H,chain E
289,8sav,K,L,I,4.0,04/19/23,40281,chain K or chain L,chain I
299,8saz,C,D,A,3.9,01/08/09,40285,chain C or chain D,chain A
300,8saz,H,I,E,3.9,01/08/09,40285,chain H or chain I,chain E
301,8saz,M,N,K,3.9,01/08/09,40285,chain M or chain N,chain K
302,8sb0,C,D,A,4.2,04/19/23,40286,chain C or chain D,chain A
303,8sb0,H,I,F,4.2,04/19/23,40286,chain H or chain I,chain F
304,8sb0,M,N,K,4.2,04/19/23,40286,chain M or chain N,chain K
305,8sb1,C,D,A,4.3,04/19/23,40287,chain C or chain D,chain A
306,8sb1,H,I,F,4.3,04/19/23,40287,chain H or chain I,chain F
307,8sb1,M,N,K,4.3,04/19/23,40287,chain M or chain N,chain K
308,8sb2,C,D,A,3.5,04/19/23,40288,chain C or chain D,chain A
309,8sb2,H,I,F,3.5,04/19/23,40288,chain H or chain I,chain F
310,8sb2,M,N,K,3.5,04/19/23,40288,chain M or chain N,chain K
320,8d21,H,L,B | A,3.96,04/12/23,27139,chain H or chain L,chain B or chain A
321,8d21,E,F,C | D,3.96,04/12/23,27139,chain E or chain F,chain C or chain D
322,8d21,J,K,G | I,3.96,04/12/23,27139,chain J or chain K,chain G or chain I
323,8dmh,F,E,a | A,3.19,04/12/23,27538,chain F or chain E,chain a or chain A
324,8dmh,H,G,b | B,3.19,04/12/23,27538,chain H or chain G,chain b or chain B
325,8dmh,J,I,c | C,3.19,04/12/23,27538,chain J or chain I,chain c or chain C
326,8gzz,E,D,A,3.52,04/12/23,34406,chain E or chain D,chain A
327,8gzz,G,F,B,3.52,04/12/23,34406,chain G or chain F,chain B
331,8h01,E,D,A,3.7,04/12/23,34408,chain E or chain D,chain A
332,8h01,G,F,B,3.7,04/12/23,34408,chain G or chain F,chain B
333,8h01,I,H,C,3.7,04/12/23,34408,chain I or chain H,chain C
334,8itu,E,D,A,3.68,04/12/23,35328,chain E or chain D,chain A
335,8itu,G,F,B,3.68,04/12/23,35328,chain G or chain F,chain B
336,8itu,I,H,C,3.68,04/12/23,35328,chain I or chain H,chain C
337,7upa,H,L,A,2.5,01/08/09,26659,chain H or chain L,chain A
338,7upa,B,E,G,2.5,01/08/09,26659,chain B or chain E,chain G
339,7upa,C,F,D,2.5,01/08/09,26659,chain C or chain F,chain D
343,7up9,H,L,G | A,2.9,03/29/23,26658,chain H or chain L,chain G or chain A
344,7upb,B,E,A,3.0,03/29/23,26660,chain B or chain E,chain A
345,7upb,C,F,D,3.0,03/29/23,26660,chain C or chain F,chain D
346,7upb,H,L,G,3.0,03/29/23,26660,chain H or chain L,chain G
347,7upd,B,E,A,2.4,03/29/23,26662,chain B or chain E,chain A
348,7upd,C,F,G,2.4,03/29/23,26662,chain C or chain F,chain G
349,7upd,H,L,D,2.4,03/29/23,26662,chain H or chain L,chain D
350,7upk,H,L,D,2.8,03/29/23,26668,chain H or chain L,chain D
351,7upk,C,F,A,2.8,03/29/23,26668,chain C or chain F,chain A
352,7upk,E,G,B,2.8,03/29/23,26668,chain E or chain G,chain B
355,8il3,B,A,C,3.86,03/29/23,35526,chain B or chain A,chain C
356,7x93,E,F,G | D,3.3,03/22/23,33065,chain E or chain F,chain G or chain D
359,7x96,H,L,G,3.4,03/22/23,33068,chain H or chain L,chain G
360,8bcz,H,L,R,2.9,03/22/23,15971,chain H or chain L,chain R
361,8bcz,C,D,R,2.9,03/22/23,15971,chain C or chain D,chain R
362,8bcz,E,F,R,2.9,03/22/23,15971,chain E or chain F,chain R
363,8bcz,A,B,R,2.9,03/22/23,15971,chain A or chain B,chain R
365,7txt,C,D,S,3.0,03/15/23,26160,chain C or chain D,chain S
366,7xdl,E,D,B,3.08,03/15/23,33151,chain E or chain D,chain B
367,7xdl,G,F,C,3.08,03/15/23,33151,chain G or chain F,chain C
368,7xdl,I,H,A,3.08,03/15/23,33151,chain I or chain H,chain A
369,7xdl,K,J,C,3.08,03/15/23,33151,chain K or chain J,chain C
370,7xdl,M,L,A,3.08,03/15/23,33151,chain M or chain L,chain A
371,7xdl,P,O,B,3.08,03/15/23,33151,chain P or chain O,chain B
372,8ek1,A,B,P,3.6,03/15/23,28192,chain A or chain B,chain P
373,8ek1,C,D,P,3.6,03/15/23,28192,chain C or chain D,chain P
374,8ek1,H,L,P,3.6,03/15/23,28192,chain H or chain L,chain P
375,8eka,H,L,P,3.7,03/15/23,28196,chain H or chain L,chain P
376,8eka,A,B,P,3.7,03/15/23,28196,chain A or chain B,chain P
377,8eka,C,D,P,3.7,03/15/23,28196,chain C or chain D,chain P
378,7x08,H,L,A,2.7,03/09/22,32920,chain H or chain L,chain A
379,7x08,I,M,B,2.7,03/09/22,32920,chain I or chain M,chain B
380,7x08,J,N,C,2.7,03/09/22,32920,chain J or chain N,chain C
382,7soe,B,L,A,2.8,01/08/09,25268,chain B or chain L,chain A
383,7soe,E,D,C,2.8,01/08/09,25268,chain E or chain D,chain C
384,7soe,H,G,F,2.8,01/08/09,25268,chain H or chain G,chain F
385,7lx3,H,L,A,3.45,03/09/22,23565,chain H or chain L,chain A
386,7lx3,N,M,B,3.45,03/09/22,23565,chain N or chain M,chain B
387,7lx3,P,O,C,3.45,03/09/22,23565,chain P or chain O,chain C
394,7ru4,H,L,A,3.3,08/24/22,24696,chain H or chain L,chain A
395,7txz,E,F,A,3.2,03/09/22,26162,chain E or chain F,chain A
396,7txz,H,L,B,3.2,03/09/22,26162,chain H or chain L,chain B
397,7e9q,H,L,A,3.65,03/09/22,31036,chain H or chain L,chain A
398,7e9q,Y,X,C,3.65,03/09/22,31036,chain Y or chain X,chain C
399,7e9q,F,E,B,3.65,03/09/22,31036,chain F or chain E,chain B
400,7v5k,E,D,A,2.8,08/24/22,31726,chain E or chain D,chain A
401,7v5k,G,F,C,2.8,08/24/22,31726,chain G or chain F,chain C
402,7v5k,I,H,B,2.8,08/24/22,31726,chain I or chain H,chain B
406,7lxm,H,L,A,3.41,03/09/22,23571,chain H or chain L,chain A
407,7lxm,N,M,C,3.41,03/09/22,23571,chain N or chain M,chain C
408,7lxm,P,O,E,3.41,03/09/22,23571,chain P or chain O,chain E
409,7ty0,J,N,D,3.5,03/09/22,26163,chain J or chain N,chain D
410,7ty0,K,O,C,3.5,03/09/22,26163,chain K or chain O,chain C
411,7t3m,D,L,A,3.0,08/24/22,25663,chain D or chain L,chain A
412,7t3m,H,J,G,3.0,08/24/22,25663,chain H or chain J,chain G
413,7t3m,I,K,C,3.0,08/24/22,25663,chain I or chain K,chain C
417,7ru3,H,L,A,3.3,08/24/22,24695,chain H or chain L,chain A
418,7ru3,E,F,B,3.3,08/24/22,24695,chain E or chain F,chain B
419,7rfp,H,L,A,4.4,03/09/22,24444,chain H or chain L,chain A
420,7rfp,I,M,B,4.4,03/09/22,24444,chain I or chain M,chain B
421,4cc8,F,J,D,6.0,10/30/13,2484,chain F or chain J,chain D
422,4cc8,H,L,E,6.0,10/30/13,2484,chain H or chain L,chain E
423,4cc8,I,K,G,6.0,10/30/13,2484,chain I or chain K,chain G
424,7wp8,D,C,F,3.88,03/08/23,32678,chain D or chain C,chain F
425,7wp8,E,G,F,3.88,03/08/23,32678,chain E or chain G,chain F
426,7wp8,H,L,F,3.88,03/08/23,32678,chain H or chain L,chain F
427,8hs2,B,C,R,3.08,03/08/23,34983,chain B or chain C,chain R
428,8c7h,L,K,I | D | C,2.7,03/01/23,16460,chain L or chain K,chain I or chain D or chain C
429,7u0q,G,F,A,3.86,01/08/09,26263,chain G or chain F,chain A
430,7u0q,J,I,C,3.86,01/08/09,26263,chain J or chain I,chain C
431,7u0x,F,G,C,3.82,03/01/23,26267,chain F or chain G,chain C
432,7u0x,H,L,A,3.82,03/01/23,26267,chain H or chain L,chain A
433,7wp6,B,I,F,3.81,03/01/23,32676,chain B or chain I,chain F
434,7wp6,D,C,F,3.81,03/01/23,32676,chain D or chain C,chain F
435,7wp6,H,L,F,3.81,03/01/23,32676,chain H or chain L,chain F
436,7wsc,H,L,R,3.78,03/01/23,32753,chain H or chain L,chain R
437,7xcz,D,E,A,3.2,03/01/23,33130,chain D or chain E,chain A
438,7xcz,B,C,A,3.2,03/01/23,33130,chain B or chain C,chain A
439,7xda,B,C,A,2.98,03/01/23,33140,chain B or chain C,chain A
440,7xda,D,E,A,2.98,03/01/23,33140,chain D or chain E,chain A
444,7xdk,F,G,A,3.2,03/01/23,33150,chain F or chain G,chain A
445,7xdk,D,E,A,3.2,03/01/23,33150,chain D or chain E,chain A
446,7xdk,K,J,B,3.2,03/01/23,33150,chain K or chain J,chain B
447,7xdk,H,I,B,3.2,03/01/23,33150,chain H or chain I,chain B
448,7xdk,L,M,C,3.2,03/01/23,33150,chain L or chain M,chain C
449,7xdk,N,O,C,3.2,03/01/23,33150,chain N or chain O,chain C
450,7y7j,E,D,A,4.8,02/22/23,33667,chain E or chain D,chain A
453,8dg9,H,L,A,2.24,02/22/23,27419,chain H or chain L,chain A
454,8dg9,F,G,B,2.24,02/22/23,27419,chain F or chain G,chain B
