,pdb,Hchain,Lchain,antigen_chain,resolution,date,mrc,antibody_selection,antigen_selection
915,7ums,6,7,2 | T,3.5,01/08/09,26608,chain 6 or chain 7,chain 2 or chain T
914,7ums,4,5,1 | U,3.5,01/08/09,26608,chain 4 or chain 5,chain 1 or chain U
873,7z3a,K,P,C,3.95,01/08/09,14474,chain K or chain P,chain C
872,7z3a,J,N,A,3.95,01/08/09,14474,chain J or chain N,chain A
871,7z3a,M,O,B,3.95,01/08/09,14474,chain M or chain O,chain B
870,7z3a,H,L,D,3.95,01/08/09,14474,chain H or chain L,chain D
731,7t9b,O,P,D,3.72,01/08/09,25755,chain O or chain P,chain D
730,7t9b,M,N,B,3.72,01/08/09,25755,chain M or chain N,chain B
736,7t74,I,J,B,3.35,01/08/09,25733,chain I or chain J,chain B
430,7u0q,J,I,C,3.86,01/08/09,26263,chain J or chain I,chain C
466,7uhz,J,N,C,3.3,01/08/09,26520,chain J or chain N,chain C
729,7t9b,J,K,F,3.72,01/08/09,25755,chain J or chain K,chain F
429,7u0q,G,F,A,3.86,01/08/09,26263,chain G or chain F,chain A
498,8de6,B,I,G,3.2,01/08/09,27385,chain B or chain I,chain G
468,7ui0,I,M,B,3.4,01/08/09,26521,chain I or chain M,chain B
467,7ui0,H,L,A,3.4,01/08/09,26521,chain H or chain L,chain A
28,8c8t,S,U,G,3.2,01/08/09,16493,chain S or chain U,chain G
27,8c8t,R,T,F,3.2,01/08/09,16493,chain R or chain T,chain F
26,8c8t,H,K,F,3.2,01/08/09,16493,chain H or chain K,chain F
497,8de6,E,F,A | C,3.2,01/08/09,27385,chain E or chain F,chain A or chain C
469,7ui0,J,N,C,3.4,01/08/09,26521,chain J or chain N,chain C
25,8c8t,C,D,A,3.2,01/08/09,16493,chain C or chain D,chain A
726,7t9a,M,N,B,3.54,01/08/09,25754,chain M or chain N,chain B
728,7t9a,H,L,A | C,3.54,01/08/09,25754,chain H or chain L,chain A or chain C
727,7t9a,O,P,D | E,3.54,01/08/09,25754,chain O or chain P,chain D or chain E
725,7t9a,J,K,F,3.54,01/08/09,25754,chain J or chain K,chain F
641,8dvd,H,L,G | E | F,4.12,01/08/09,27735,chain H or chain L,chain G or chain E or chain F
421,4cc8,F,J,D,6.0,10/30/13,2484,chain F or chain J,chain D
422,4cc8,H,L,E,6.0,10/30/13,2484,chain H or chain L,chain E
423,4cc8,I,K,G,6.0,10/30/13,2484,chain I or chain K,chain G
1855,5uhy,H,G,A,6.2,01/12/17,8548,chain H or chain G,chain A
1856,5uhy,J,I,C | E,6.2,01/12/17,8548,chain J or chain I,chain C or chain E
1345,5viy,M,N,A,6.2,04/17/17,8693,chain M or chain N,chain A
1343,5viy,O,P,C | E,6.2,04/17/17,8693,chain O or chain P,chain C or chain E
1342,5viy,H,G,F,6.2,04/17/17,8693,chain H or chain G,chain F
1346,5viy,K,L,B,6.2,04/17/17,8693,chain K or chain L,chain B
1344,5viy,J,I,D,6.2,04/17/17,8693,chain J or chain I,chain D
1867,5ywo,N,M,C,4.7,11/29/17,6854,chain N or chain M,chain C
2161,5ywp,R,Q,A,4.6,11/29/17,6855,chain R or chain Q,chain A
2162,5ywp,N,M,C,4.6,11/29/17,6855,chain N or chain M,chain C
1868,5ywo,R,Q,A,4.7,11/29/17,6854,chain R or chain Q,chain A
2144,6bt3,F,E,L,4.7,12/05/17,8243,chain F or chain E,chain L
2143,6bt3,H,G,K | J,4.7,12/05/17,8243,chain H or chain G,chain K or chain J
2142,6bt3,D,C,M,4.7,12/05/17,8243,chain D or chain C,chain M
2141,6bt3,B,A,N,4.7,12/05/17,8243,chain B or chain A,chain N
1985,6cnk,G,F,C | B,3.7,03/08/18,7536,chain G or chain F,chain C or chain B
1919,6cnj,G,F,C,3.4,03/08/18,7535,chain G or chain F,chain C
1921,6cnj,K,J,E | D,3.4,03/08/18,7535,chain K or chain J,chain E or chain D
1920,6cnj,I,H,B | A,3.4,03/08/18,7535,chain I or chain H,chain B or chain A
1984,6cnk,K,J,E | D,3.7,03/08/18,7536,chain K or chain J,chain E or chain D
1465,6cxc,X,Y,D | C,3.9,04/02/18,7774,chain X or chain Y,chain D or chain C
1466,6cxc,I,K,F | E,3.9,04/02/18,7774,chain I or chain K,chain F or chain E
1464,6cxc,G,J,B | A,3.9,04/02/18,7774,chain G or chain J,chain B or chain A
1794,6dcq,H,L,B | A,3.1,05/08/18,7858,chain H or chain L,chain B or chain A
1795,6dcq,M,N,F | E | D,3.1,05/08/18,7858,chain M or chain N,chain F or chain E or chain D
2194,6aj9,D,E,A,3.5,08/27/18,9634,chain D or chain E,chain A
2195,6aj9,H,L,C | B,3.5,08/27/18,9634,chain H or chain L,chain C or chain B
1437,6mui,C,D,B,7.7,10/23/18,9249,chain C or chain D,chain B
1436,6mui,K,L,J,7.7,10/23/18,9249,chain K or chain L,chain J
1438,6mui,G,H,F,7.7,10/23/18,9249,chain G or chain H,chain F
1439,6mui,O,P,N,7.7,10/23/18,9249,chain O or chain P,chain N
1812,6mw9,K,L,J,7.3,10/29/18,9274,chain K or chain L,chain J
1811,6mw9,G,H,F,7.3,10/29/18,9274,chain G or chain H,chain F
1357,6mwc,C,D,B,7.5,10/29/18,9275,chain C or chain D,chain B
1358,6mwc,G,H,F,7.5,10/29/18,9275,chain G or chain H,chain F
1809,6mw9,O,P,N,7.3,10/29/18,9274,chain O or chain P,chain N
1360,6mwc,O,P,N,7.5,10/29/18,9275,chain O or chain P,chain N
1359,6mwc,K,L,J,7.5,10/29/18,9275,chain K or chain L,chain J
1810,6mw9,C,D,B,7.3,10/29/18,9274,chain C or chain D,chain B
997,6mwx,C,D,B,8.2,10/30/18,9279,chain C or chain D,chain B
1317,6mwv,G,H,F,7.3,10/30/18,9278,chain G or chain H,chain F
1316,6mwv,O,P,N,7.3,10/30/18,9278,chain O or chain P,chain N
1315,6mwv,K,L,J,7.3,10/30/18,9278,chain K or chain L,chain J
994,6mwx,O,P,N,8.2,10/30/18,9279,chain O or chain P,chain N
995,6mwx,G,H,F,8.2,10/30/18,9279,chain G or chain H,chain F
996,6mwx,K,L,J,8.2,10/30/18,9279,chain K or chain L,chain J
1318,6mwv,C,D,B,7.3,10/30/18,9278,chain C or chain D,chain B
2325,6n4q,L,K,C | D | H,3.6,11/20/18,0341,chain L or chain K,chain C or chain D or chain H
1702,6n4r,J,I,A | B | F,4.2,11/20/18,0342,chain J or chain I,chain A or chain B or chain F
1701,6n4r,L,K,C | D | H,4.2,11/20/18,0342,chain L or chain K,chain C or chain D or chain H
2324,6n4q,J,I,A | B | F,3.6,11/20/18,0341,chain J or chain I,chain A or chain B or chain F
1140,6nc2,O,T,I | C,5.2,12/10/18,0433,chain O or chain T,chain I or chain C
1141,6nc2,R,W,M | F,5.2,12/10/18,0433,chain R or chain W,chain M or chain F
1142,6nc2,Q,V,K | E,5.2,12/10/18,0433,chain Q or chain V,chain K or chain E
1139,6nc2,S,X,N | G,5.2,12/10/18,0433,chain S or chain X,chain N or chain G
1906,6nc3,H,L,B | A,4.5,12/10/18,0434,chain H or chain L,chain B or chain A
1907,6nc3,Q,V,K | E,4.5,12/10/18,0434,chain Q or chain V,chain K or chain E
1908,6nc3,O,T,I | C,4.5,12/10/18,0434,chain O or chain T,chain I or chain C
1909,6nc3,P,U,J | D,4.5,12/10/18,0434,chain P or chain U,chain J or chain D
1910,6nc3,S,X,N | G,4.5,12/10/18,0434,chain S or chain X,chain N or chain G
1911,6nc3,R,W,M | F,4.5,12/10/18,0434,chain R or chain W,chain M or chain F
1137,6nc2,P,U,J | D,5.2,12/10/18,0433,chain P or chain U,chain J or chain D
1138,6nc2,H,L,B | A,5.2,12/10/18,0433,chain H or chain L,chain B or chain A
1674,6nfc,H,L,A,3.43,12/19/18,7885,chain H or chain L,chain A
1673,6nfc,J,M,G,3.43,12/19/18,7885,chain J or chain M,chain G
1672,6nfc,K,N,B | F,3.43,12/19/18,7885,chain K or chain N,chain B or chain F
1671,6nfc,C,D,I | E,3.43,12/19/18,7885,chain C or chain D,chain I or chain E
1263,6ni2,H,L,B,4.0,12/26/18,9375,chain H or chain L,chain B
2173,6qd7,H,L,D | C,3.1,01/01/19,4520,chain H or chain L,chain D or chain C
1539,6qd8,W,Z,D | C,3.3,01/01/19,4521,chain W or chain Z,chain D or chain C
2171,6qd7,X,Z,F | E,3.1,01/01/19,4520,chain X or chain Z,chain F or chain E
2172,6qd7,U,P,B | A,3.1,01/01/19,4520,chain U or chain P,chain B or chain A
1537,6qd8,H,L,F | E,3.3,01/01/19,4521,chain H or chain L,chain F or chain E
1538,6qd8,Q,Y,B | A,3.3,01/01/19,4521,chain Q or chain Y,chain B or chain A
1056,6nqd,C,D,B | A,3.9,01/21/19,0485,chain C or chain D,chain B or chain A
1054,6nqd,K,L,J | I,3.9,01/21/19,0485,chain K or chain L,chain J or chain I
1055,6nqd,G,H,F | E,3.9,01/21/19,0485,chain G or chain H,chain F or chain E
1507,6olp,G,I,D | C | B,4.2,04/16/19,20118,chain G or chain I,chain D or chain C or chain B
1508,6olp,H,L,F | E,4.2,04/16/19,20118,chain H or chain L,chain F or chain E
1078,6opo,H,L,A,3.5,04/25/19,20151,chain H or chain L,chain A
1878,6opp,N,O,J,3.7,04/25/19,20152,chain N or chain O,chain J
1080,6opo,I,E,D,3.5,04/25/19,20151,chain I or chain E,chain D
1079,6opo,O,K,J,3.5,04/25/19,20151,chain O or chain K,chain J
1623,6opq,H,L,A,3.8,04/25/19,20153,chain H or chain L,chain A
1624,6opq,M,O,E,3.8,04/25/19,20153,chain M or chain O,chain E
1625,6opq,K,N,D,3.8,04/25/19,20153,chain K or chain N,chain D
1877,6opp,H,L,A,3.7,04/25/19,20152,chain H or chain L,chain A
1876,6opp,G,I,D,3.7,04/25/19,20152,chain G or chain I,chain D
1351,6oro,J,K,I,3.9,04/30/19,20176,chain J or chain K,chain I
1350,6oro,H,L,G,3.9,04/30/19,20176,chain H or chain L,chain G
1349,6oro,D,E,B,3.9,04/30/19,20176,chain D or chain E,chain B
1689,6orp,J,K,I,4.4,04/30/19,20177,chain J or chain K,chain I
1968,6orq,H,L,G,4.4,04/30/19,20178,chain H or chain L,chain G
1969,6orq,J,K,I,4.4,04/30/19,20178,chain J or chain K,chain I
1970,6orq,D,E,B,4.4,04/30/19,20178,chain D or chain E,chain B
1690,6orp,H,L,G,4.4,04/30/19,20177,chain H or chain L,chain G
1688,6orp,D,E,B,4.4,04/30/19,20177,chain D or chain E,chain B
1273,6pci,O,R,B | E,4.12,06/17/19,20301,chain O or chain R,chain B or chain E
1271,6pci,I,L,B,4.12,06/17/19,20301,chain I or chain L,chain B
1275,6pci,J,M,C,4.12,06/17/19,20301,chain J or chain M,chain C
1276,6pci,H,K,A,4.12,06/17/19,20301,chain H or chain K,chain A
1274,6pci,N,Q,A | D,4.12,06/17/19,20301,chain N or chain Q,chain A or chain D
1272,6pci,P,S,C | F,4.12,06/17/19,20301,chain P or chain S,chain C or chain F
1986,6pv7,F,G,D | E,3.34,07/19/19,20487,chain F or chain G,chain D or chain E
1319,6pv8,H,I,A | B,3.87,07/19/19,20488,chain H or chain I,chain A or chain B
1320,6pv8,F,G,D | E,3.87,07/19/19,20488,chain F or chain G,chain D or chain E
1987,6pv7,H,I,A | B,3.34,07/19/19,20487,chain H or chain I,chain A or chain B
2228,6lbh,E,F,A,3.7,11/14/19,0869,chain E or chain F,chain A
2227,6lbh,C,D,B,3.7,11/14/19,0869,chain C or chain D,chain B
1404,6v4o,H,L,N,2.8,11/28/19,21043,chain H or chain L,chain N
1403,6v4o,D,E,W,2.8,11/28/19,21043,chain D or chain E,chain W
1402,6v4o,A,B,I,2.8,11/28/19,21043,chain A or chain B,chain I
1084,6v4n,A,B,I,2.5,11/28/19,21042,chain A or chain B,chain I
1405,6v4o,C,G,M,2.8,11/28/19,21043,chain C or chain G,chain M
1083,6v4n,H,L,N,2.5,11/28/19,21042,chain H or chain L,chain N
1082,6v4n,C,G,M,2.5,11/28/19,21042,chain C or chain G,chain M
1085,6v4n,D,E,W,2.5,11/28/19,21042,chain D or chain E,chain W
2205,6lnt,P,Q,E | B,8.0,01/02/20,0932,chain P or chain Q,chain E or chain B
2206,6lnt,H,L,A | D,8.0,01/02/20,0932,chain H or chain L,chain A or chain D
1013,6vi0,K,J,I,3.43,01/10/20,21208,chain K or chain J,chain I
1012,6vi0,E,D,C,3.43,01/10/20,21208,chain E or chain D,chain C
1011,6vi0,H,L,G,3.43,01/10/20,21208,chain H or chain L,chain G
2279,6vkn,I,K,D | B,3.7,01/21/20,21227,chain I or chain K,chain D or chain B
2280,6vkn,G,J,C | F,3.7,01/21/20,21227,chain G or chain J,chain C or chain F
2281,6vkn,H,L,A | E,3.7,01/21/20,21227,chain H or chain L,chain A or chain E
2089,6vlr,F,N,I | B,4.42,01/24/20,21232,chain F or chain N,chain I or chain B
2090,6vlr,C,L,A,4.42,01/24/20,21232,chain C or chain L,chain A
2088,6vlr,D,K,H,4.42,01/24/20,21232,chain D or chain K,chain H
2091,6vlr,E,M,G,4.42,01/24/20,21232,chain E or chain M,chain G
1628,6vo1,G,J,C,3.88,01/29/20,21257,chain G or chain J,chain C
1629,6vo1,H,L,A,3.88,01/29/20,21257,chain H or chain L,chain A
1587,6vn0,H,L,B | A,4.25,01/29/20,21246,chain H or chain L,chain B or chain A
1586,6vn0,G,J,E | C,4.25,01/29/20,21246,chain G or chain J,chain E or chain C
1585,6vn0,I,K,F | D,4.25,01/29/20,21246,chain I or chain K,chain F or chain D
1630,6vo1,I,K,D,3.88,01/29/20,21257,chain I or chain K,chain D
1478,6vn1,J,N,C,2.8,01/29/20,21247,chain J or chain N,chain C
1479,6vn1,I,M,B,2.8,01/29/20,21247,chain I or chain M,chain B
1480,6vn1,H,L,A,2.8,01/29/20,21247,chain H or chain L,chain A
1728,6vo3,G,J,C,4.25,01/29/20,21258,chain G or chain J,chain C
1727,6vo3,I,K,D,4.25,01/29/20,21258,chain I or chain K,chain D
1386,6vo0,G,J,C,3.52,01/29/20,21256,chain G or chain J,chain C
1385,6vo0,H,L,A,3.52,01/29/20,21256,chain H or chain L,chain A
1387,6vo0,I,K,D,3.52,01/29/20,21256,chain I or chain K,chain D
1729,6vo3,H,L,A,4.25,01/29/20,21258,chain H or chain L,chain A
2012,6vpx,P,Q,D | C | B,5.0,02/04/20,21335,chain P or chain Q,chain D or chain C or chain B
2015,6vpx,K,N,I | A,5.0,02/04/20,21335,chain K or chain N,chain I or chain A
2013,6vpx,M,O,J | E | F,5.0,02/04/20,21335,chain M or chain O,chain J or chain E or chain F
2014,6vpx,H,L,G,5.0,02/04/20,21335,chain H or chain L,chain G
1875,6vx4,H,K,F | G,3.12,02/21/20,21429,chain H or chain K,chain F or chain G
2250,6vyh,D,C,A,3.0,02/26/20,21460,chain D or chain C,chain A
1916,6vyv,I,M,F,6.33,02/27/20,21473,chain I or chain M,chain F
1917,6vyv,L,P,H,6.33,02/27/20,21473,chain L or chain P,chain H
1918,6vyv,J,N,G,6.33,02/27/20,21473,chain J or chain N,chain G
1915,6vyv,K,O,E,6.33,02/27/20,21473,chain K or chain O,chain E
1504,6w09,I,M,E,5.3,02/29/20,21496,chain I or chain M,chain E
1502,6w09,J,N,F,5.3,02/29/20,21496,chain J or chain N,chain F
1501,6w09,K,O,G,5.3,02/29/20,21496,chain K or chain O,chain G
1503,6w09,L,P,H,5.3,02/29/20,21496,chain L or chain P,chain H
1226,6w1c,I,M,F | B,5.3,03/04/20,21509,chain I or chain M,chain F or chain B
1228,6w1c,K,O,E,5.3,03/04/20,21509,chain K or chain O,chain E
1227,6w1c,L,P,H,5.3,03/04/20,21509,chain L or chain P,chain H
1225,6w1c,J,N,G,5.3,03/04/20,21509,chain J or chain N,chain G
1409,6y90,H,L,A,3.69,03/06/20,10731,chain H or chain L,chain A
2076,6y97,H,L,A | B,4.33,03/06/20,10733,chain H or chain L,chain A or chain B
2335,6y92,C,D,B,4.73,03/06/20,10732,chain C or chain D,chain B
1951,6y9a,H,L,A | B,4.2,03/06/20,10734,chain H or chain L,chain A or chain B
2336,6y92,H,L,A,4.73,03/06/20,10732,chain H or chain L,chain A
1408,6y90,C,D,B,3.69,03/06/20,10731,chain C or chain D,chain B
1947,6w4s,H,L,F,3.2,03/11/20,21539,chain H or chain L,chain F
2097,6wbv,H,L,A,2.5,03/27/20,21599,chain H or chain L,chain A
2128,6wds,H,L,C | A | B,2.9,04/01/20,21647,chain H or chain L,chain C or chain A or chain B
2211,6wdt,H,L,A | C | B,3.1,04/01/20,21648,chain H or chain L,chain A or chain C or chain B
1197,7bud,G,I,B,4.5,04/06/20,30195,chain G or chain I,chain B
1198,7bud,H,L,A | C,4.5,04/06/20,30195,chain H or chain L,chain A or chain C
1886,7bub,H,L,A | C,4.2,04/06/20,30194,chain H or chain L,chain A or chain C
1885,7bub,G,I,B,4.2,04/06/20,30194,chain G or chain I,chain B
1854,6wik,D,C,A,3.4,04/10/20,21684,chain D or chain C,chain A
1506,6ww2,H,L,R,3.7,05/07/20,21927,chain H or chain L,chain R
1977,6ww5,E,F,A,3.15,05/07/20,21928,chain E or chain F,chain A
1978,6ww5,C,D,B,3.15,05/07/20,21928,chain C or chain D,chain B
2032,7c2l,H,L,A,3.1,05/08/20,30276,chain H or chain L,chain A
2030,7c2l,J,N,C,3.1,05/08/20,30276,chain J or chain N,chain C
2031,7c2l,I,M,B,3.1,05/08/20,30276,chain I or chain M,chain B
2000,7c2t,V,W,N,9.4,05/09/20,30279,chain V or chain W,chain N
1999,7c2t,K,L,B,9.4,05/09/20,30279,chain K or chain L,chain B
1086,6wxl,K,J,I | G,2.76,05/11/20,21961,chain K or chain J,chain I or chain G
1088,6wxl,F,E,D | C,2.76,05/11/20,21961,chain F or chain E,chain D or chain C
1087,6wxl,H,L,B | A,2.76,05/11/20,21961,chain H or chain L,chain B or chain A
1827,6wzt,H,L,A,4.4,05/14/20,21973,chain H or chain L,chain A
1829,6wzt,E,D,B,4.4,05/14/20,21973,chain E or chain D,chain B
1828,6wzt,G,F,C,4.4,05/14/20,21973,chain G or chain F,chain C
1254,6x3z,K,L,D,3.23,05/21/20,22037,chain K or chain L,chain D
1310,6z3q,H,L,C | A | B,2.7,05/21/20,11062,chain H or chain L,chain C or chain A or chain B
1298,6x3v,K,L,D,3.5,05/21/20,22034,chain K or chain L,chain D
1201,6z3p,H,L,C | A | B,2.8,05/21/20,11061,chain H or chain L,chain C or chain A or chain B
1297,6x3v,J,I,B,3.5,05/21/20,22034,chain J or chain I,chain B
1058,6x3x,K,L,D,2.92,05/21/20,22036,chain K or chain L,chain D
1057,6x3x,J,I,B,2.92,05/21/20,22036,chain J or chain I,chain B
1253,6x3z,J,I,B,3.23,05/21/20,22037,chain J or chain I,chain B
2116,6x3w,K,L,D,3.3,05/21/20,22035,chain K or chain L,chain D
1544,6x40,K,L,D,2.86,05/21/20,22038,chain K or chain L,chain D
2115,6x3w,J,I,B,3.3,05/21/20,22035,chain J or chain I,chain B
1961,6x3s,K,L,D,3.12,05/21/20,22031,chain K or chain L,chain D
1962,6x3s,J,I,B,3.12,05/21/20,22031,chain J or chain I,chain B
1543,6x40,J,I,B,2.86,05/21/20,22038,chain J or chain I,chain B
2234,6x3u,J,I,B,3.49,05/21/20,22033,chain J or chain I,chain B
2235,6x3u,K,L,D,3.49,05/21/20,22033,chain K or chain L,chain D
2050,6x3t,J,I,B,2.55,05/21/20,22032,chain J or chain I,chain B
2051,6x3t,K,L,D,2.55,05/21/20,22032,chain K or chain L,chain D
1051,6x5b,H,L,A,3.6,05/25/20,22048,chain H or chain L,chain A
1049,6x5b,I,F,D,3.6,05/25/20,22048,chain I or chain F,chain D
1050,6x5b,O,M,J,3.6,05/25/20,22048,chain O or chain M,chain J
2350,7c80,H,L,A | C | B,3.7,05/28/20,30303,chain H or chain L,chain A or chain C or chain B
1760,7c81,H,L,A | C,3.1,05/28/20,30304,chain H or chain L,chain A or chain C
1652,6x87,I,J,X,3.2,06/01/20,22089,chain I or chain J,chain X
1651,6x87,G,H,X,3.2,06/01/20,22089,chain G or chain H,chain X
1650,6x87,K,L,X,3.2,06/01/20,22089,chain K or chain L,chain X
1649,6x87,M,N,X,3.2,06/01/20,22089,chain M or chain N,chain X
1648,6x87,A,B,X,3.2,06/01/20,22089,chain A or chain B,chain X
1647,6x87,E,F,X,3.2,06/01/20,22089,chain E or chain F,chain X
1653,6x87,C,D,X,3.2,06/01/20,22089,chain C or chain D,chain X
1243,6x96,E,F,C,3.4,06/02/20,22102,chain E or chain F,chain C
2105,6x97,E,F,C,3.65,06/02/20,22103,chain E or chain F,chain C
1242,6x96,H,L,A,3.4,06/02/20,22102,chain H or chain L,chain A
2104,6x97,J,K,G,3.65,06/02/20,22103,chain J or chain K,chain G
1241,6x96,J,K,G,3.4,06/02/20,22102,chain J or chain K,chain G
1530,6x98,K,J,G,3.38,06/02/20,22104,chain K or chain J,chain G
1529,6x98,H,L,A,3.38,06/02/20,22104,chain H or chain L,chain A
1528,6x98,F,E,C,3.38,06/02/20,22104,chain F or chain E,chain C
2106,6x97,H,L,A,3.65,06/02/20,22103,chain H or chain L,chain A
1136,6x9r,H,L,A | B,3.1,06/03/20,22108,chain H or chain L,chain A or chain B
2219,6x9u,H,L,A | B,3.2,06/03/20,22111,chain H or chain L,chain A or chain B
2352,6x9s,H,L,A | B,3.1,06/03/20,22109,chain H or chain L,chain A or chain B
2345,6x9t,H,L,A | B,3.2,06/03/20,22110,chain H or chain L,chain A or chain B
2327,6x9v,H,L,B | A,3.5,06/03/20,22112,chain H or chain L,chain B or chain A
2040,7cac,E,D,B | A,3.55,06/08/20,30326,chain E or chain D,chain B or chain A
2302,7cai,G,F,B | C,3.49,06/08/20,30332,chain G or chain F,chain B or chain C
2303,7cah,E,D,A,3.9,06/08/20,30331,chain E or chain D,chain A
1443,7cak,I,H,C,3.58,06/08/20,30333,chain I or chain H,chain C
1444,7cak,E,D,A,3.58,06/08/20,30333,chain E or chain D,chain A
1024,6xcn,H,L,C,3.66,06/08/20,22128,chain H or chain L,chain C
1026,6xcn,F,G,E,3.66,06/08/20,22128,chain F or chain G,chain E
1025,6xcn,B,D,A,3.66,06/08/20,22128,chain B or chain D,chain A
1604,6xcm,N,S,B,3.42,06/08/20,22127,chain N or chain S,chain B
1603,6xcm,H,L,C,3.42,06/08/20,22127,chain H or chain L,chain C
1445,7cak,G,F,B,3.58,06/08/20,30333,chain G or chain F,chain B
2301,7cai,E,D,A,3.49,06/08/20,30332,chain E or chain D,chain A
1355,6xdg,B,D,E,3.9,06/10/20,22137,chain B or chain D,chain E
1356,6xdg,C,A,E,3.9,06/10/20,22137,chain C or chain A,chain E
2209,7cbp,D,E,K | Q,4.1,06/13/20,30337,chain D or chain E,chain K or chain Q
2210,7cbp,R,S,N,4.1,06/13/20,30337,chain R or chain S,chain N
1168,6zdg,H,L,E,4.7,06/14/20,11173,chain H or chain L,chain E
1167,6zdg,B,C,A,4.7,06/14/20,11173,chain B or chain C,chain A
987,6zdh,G,I,C,3.7,06/14/20,11174,chain G or chain I,chain C
985,6zdh,H,L,A,3.7,06/14/20,11174,chain H or chain L,chain A
1950,6xey,F,G,B,3.25,06/14/20,22156,chain F or chain G,chain B
1948,6xey,J,K,C,3.25,06/14/20,22156,chain J or chain K,chain C
1949,6xey,H,L,A,3.25,06/14/20,22156,chain H or chain L,chain A
1169,6zdg,F,G,D,4.7,06/14/20,11173,chain F or chain G,chain D
